artist,title,lyric
U2,You’re the Best Thing About Me,"[Verse 1: Bono]
When you look so good, the pain in your face doesn't show
When you look so good and baby, you don't even know
When the world is ours but the world is not your kind of thing
Full of shooting stars, brighter as they're vanishing
Oh you've seen enough to know it's children who teach
You're still free enough to wake up on a bed or a beach

[Chorus: Bono]
You're the best thing about me
The best thing that ever happened a boy
You're the best thing about me
I'm the kind of trouble that you enjoy
You're the best thing about me
The best things are easy to destroy
You're the best thing about me
The best thing about me

[Verse 2: Bono]
I been crying out, ""How bad can a good time be?""
Shooting off my mouth, that's another great thing about me
I have everything but I feel like nothing at all
There's no risky thing for a man who's determined to fall

[Chorus: Bono]
You're the best thing about me
The best thing that ever happened a boy
You're the best thing about me
I'm the kind of trouble that you enjoy
You're the best thing about me
The best things are easy to destroy
You're the best thing about me

[Post-Chorus: Bono]
Why am I
Why am I walking away?
Walking away
Why am I walking away?

[Bridge: The Edge]
I can see it all so clearly
I can see what you can't see
I can see you love her loudly
When she needs you quietly

[Chorus: Bono]
You're the best thing about me
The best things are easy to destroy
You're the best thing about me

[Post-Chorus: Bono]
Why am I
Why am I walking away?
Walking away
Why am I walking away?"
U2,The Troubles,"[Chorus: Lykke Li]
Somebody stepped inside your soul
Somebody stepped inside your soul
Little by little, they robbed and stole
'Til someone else was in control

[Verse 1: Bono]
You think it’s easier
To put your finger on the trouble
When the trouble is you
And you think it’s easier
To know your own tricks
Well, it’s the hardest thing you’ll ever do

[Pre-Chorus: Bono & Lykke Li]
I have a will for survival
So you can hurt me and hurt me some more
I can live with denial
But you’re not my troubles anymore

[Chorus: Lykke Li]
Somebody stepped inside your soul
Somebody stepped inside your soul
Little by little, they robbed and stole
'Til somebody else was in control
Somebody stepped inside your soul
Somebody stepped inside your soul
Little by little, they robbed and stole
'Til someone else was in control

[Verse 2: Bono]
You think it’s easier
To give up on the trouble
If the trouble is destroying you
And you think it’s easier
But before you threw me a rope
It was the one thing I could hold on to

[Pre-Chorus: Bono & Lykke Li]
I have a will for survival
So you can hurt me then, and hurt me some more
I can live with denial
But you’re not my troubles anymore

[Chorus: Lykke Li & (Bono)]
Somebody stepped inside your soul
Somebody stepped inside your soul
Little by little, they robbed and stole
'Til somebody else was in control ('til someone else is in control)
Somebody stepped inside your soul (oh no)
Somebody stepped inside your soul (oh no)
Little by little, they robbed and stole
'Til somebody else was in control

[Bridge: Bono & Lykke Li]
God knows it’s not easy
I'm taking on the shape of someone else’s pain
God, now you can see me
I’m naked and I’m not afraid, my body’s
Sacred and I’m not ashamed

[Chorus: Lykke Li & (Bono)]
Somebody stepped inside your soul (oh no)
Somebody stepped inside your soul (oh no)
Little by little, they robbed and stole
'Til somebody else was in control ('til someone else is in control)
Somebody stepped inside your soul (oh no)
Somebody stepped inside your soul (oh no)
Little by little, they robbed and stole
'Til someone else was in control (someone else is in control)"
U2,Ordinary Love,"[Verse 1]
The sea wants to kiss the golden shore
The sunlight warms your skin
All the beauty that's been lost before
Wants to find us again

I can't fight you anymore
It's you I'm fighting for
The sea throws rocks together
But time leaves us polished stones

[Chorus]
We can't fall any further
If we can't feel ordinary love
And we cannot reach any higher
If we can't deal with ordinary love

[Verse 2]
Birds fly high in the summer sky
And rest on the breeze
The same wind will take care of you and I
We'll build our house in the trees

Your heart is on my sleeve
Did you put there with a magic marker
For years I would believe
That the world couldn't wash it away

[Chorus]
'Cause we can't fall any further
If we can't feel ordinary love
And we cannot reach any higher
If we can't deal with ordinary love

[Bridge]
Are we tough enough
For ordinary love

[Chorus]
We can't fall any further
If we can't feel ordinary love
And we cannot reach any higher
If we can't deal with ordinary love
We can't fall any further
If we can't feel ordinary love
And we cannot reach any higher
If we can't deal with ordinary love"
U2,Vertigo,"[Intro]
Unos, dos, tres, catorce!
(Turn it up loud, captain)

[Verse 1]
Lights go down, it's dark, the jungle is your head
Can't rule your heart, a feeling so much stron-
-ger than a thought, your eyes are wide and though your soul
It can't be bought, your mind can wander

[Chorus]
Hello, hello! (¡Hola!)
I'm at a place called Vertigo (¿Dónde está?)
It's everything I wish I didn't know
Except you give me something
I can feel
Feel

[Verse 2]
The night is full of holes as bullets rip the sky
Of ink with gold, they twinkle as the boys
Play rock and roll, they know that they can't dance
At least they know
I can't stand the beats, I'm asking for the cheque
The girl with crimson nails has Jesus round her neck
Swinging to the music, swinging to the music
Oh-oh-oh-oh-oh, oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh

[Chorus]
Hello, hello! (¡Hola!)
I'm at a place called Vertigo (¿Dónde está?)
It's everything I wish I didn't know
That you give me something
I can feel
Feel

[Bridge]
Checkmated!
Just fun!
She made it in, yeah!
All of this, all of this can be yours
All of this, all of this can be yours
All of this, all of this can be yours
Just give me what I want and no-one gets hurt

[Chorus]
Hello, hello! (¡Hola!)
We're at a place called Vertigo (¿Dónde está?)
Lights go down and all I know
Is that you give me something
I can feel your love teaching me how
Your love is teaching me how
How to kneel
Kneel

[Outro]
Yeah yeah yeah yeah yeah yeah yeah (yeah)
Yeah yeah yeah yeah yeah yeah yeah yeah"
U2,New Year’s Day,"[Intro]
Yeah...

[Verse 1]
All is quiet on New Year's Day
A world in white gets underway
I want to be with you
Be with you night and day
Nothing changes on New Year's Day
On New Year's Day

[Chorus]
I will be with you again
I will be with you again

[Verse 2]
Under a blood red sky
A crowd has gathered in black and white
Arms entwined, the chosen few
The newspaper says, says
Say it's true, it's true...
And we can break through
Though torn in two
We can be one

[Chorus 2]
I, I will begin again
I, I will begin again

[Instrumental Interlude]

[Bridge]
Oh
Maybe the time is right
Oh, maybe tonight

[Chorus]
I will be with you again
I will be with you again

[Verse 3]
And so we're told this is the golden age
And gold is the reason for the wars we wage
Though I want to be with you
Be with you night and day
Nothing changes
On New Year's Day
On New Year's Day
On New Year's Day"
Damien Rice,The Blower’s Daughter,"[Verse 1: Damien Rice]
And so it is
Just like you said it would be
Life goes easy on me
Most of the time

[Verse 2: Damien Rice]
And so it is
The shorter story
No love, no glory
No hero in her skies

[Chorus: Damien Rice]
I can't take my eyes off of you
I can't take my eyes off of you
I can't take my eyes off of you
I can't take my eyes off of you
I can't take my eyes off of you
I can't take my eyes

[Verse 3: Damien Rice]
And so it is
Just like you said it should be
We'll both forget the breeze
Most of the time

[Verse 4: Damien Rice]
And so it is
The colder water
The blower's daughter
The pupil in denial

[Chorus: Damien Rice]
I can't take my eyes off of you
I can't take my eyes off of you
I can't take my eyes off of you
I can't take my eyes off of you
I can't take my eyes off of you
I can't take my eyes off of you

[Bridge: Lisa Hannigan]
Oh, did I say
That I loathe you?
Did I say that I want to
Leave it all behind?

[Chorus & Outro: Damien Rice]
I can't take my mind off of you
I can't take my mind off of you
I can't take my mind off of you
I can't take my mind off of you
I can't take my mind off of you
I can't take my mind off of you
My mind
My mind...
Till I find somebody new"
Damien Rice,9 Crimes,"[Verse: Lisa Hannigan]
Leave me out with the waste
This is not what I do
It's the wrong kind of place
To be thinking of you

[Pre-Chorus 1: Lisa Hannigan]
It's the wrong time
For somebody new
It's a small crime
And I got no excuse

[Refrain: Lisa Hannigan]
And is that all right, yeah?
Give my gun away when it's loaded
That all right, yeah?
If you don't shoot it, how am I supposed to hold it?
That all right, yeah?
Give my gun away when it's loaded
That all right, yeah, with you?

[Verse: Damien Rice]
Leave me out with the waste
This is not what I do
It's the wrong kind of place
To be cheating on you

[Pre-Chorus 2: Damien Rice]
It's the wrong time
She's pulling me through
It's a small crime
And I got no excuse

[Refrain: Damien Rice & Lisa Hannigan]
And is that all right, yeah?
To give my gun away when it's loaded
(Is that all right with you?)
Is that all right, yeah?
If you don't shoot it, how am I supposed to hold it?
(Is that all right with you?)
Is that all right, yeah?
If I give my gun away when it's loaded
(Is that all right with you?)
Is that all right?
That all right with you?

[Refrain: Damien Rice & Lisa Hannigan]
That all right, yeah?
If I give my gun away when it's loaded
(Is that all right with you?)
Is that all right, yeah?
You don't shoot it, how am I supposed to hold it?
(Is that all right with you?)
Is that all right, yeah?
If I give my gun away when it's loaded
(Is that all right with you?)
Is that all right?
Is that all right with you?

[Refrain: Damien Rice & Lisa Hannigan]
And is that all right, yeah?
(To give my gun away when it's loaded)
Is that all right, yeah?
(You don't shoot it, how am I supposed to hold it?)
Is that all right, yeah?
(To give my gun away when it's loaded)
Is that all right? Is that all right?
Is that all right with you? No"
Damien Rice,Delicate,"[Verse 1]
We might kiss when we are alone
When nobody's watching
We might take it home
We might make out when nobody's there
It's not that we're scared
It's just that it's delicate

[Chorus]
So why'd you fill my sorrows
With the words you've borrowed
From the only place you've known?
And why'd you sing Hallelujah
If it means nothing to ya?
Why'd you sing with me at all?

[Verse 2]
We might live like never before
There's nothing to give
Well, how can we ask for more?
We might make love in some sacred place
The look on your face is delicate

[Chorus]
So why'd you fill my sorrows
With the words you've borrowed
From the only place you've known?
And why'd you sing Hallelujah
If it means nothing to ya?
Why'd you sing with me at all?

[Chorus]
Why'd you fill my sorrows
With the words you've borrowed
From the only place that you've known?
Why'd you sing Hallelujah
If it means nothing to ya?
Why'd you sing with me at all?

[Instrumental Outro]"
Damien Rice,It Takes a Lot to Know a Man,"[Verse 1]
It takes a lot to know a man
It takes a lot to understand
The warrior, the sage
The little boy enraged
It takes a lot to know a woman
A lot to understand what's humming
The honey-bee, the sting
The little girl with wings

[Chorus]
It takes a lot to give
To ask for help
To be yourself
To know and love what you live with
It takes a lot to breathe
To touch, to feel
The slow reveal
Of what another body needs

[Verse 2]
It takes a lot to know a man
A lot to know, to understand
The father and the son
The hunter and the gun
It takes a lot to know a woman
A lot to comprehend what's coming
The mother and the child
The muse and the beguiled

[Chorus]
It takes a lot to give
To ask for help
To be yourself
To know and love what you live with
It takes a lot to breathe
To touch, to feel
The slow reveal
Of what another body needs
It takes a lot to give
To ask for help
To be yourself
To know and love what you live with
It takes a lot to breathe
To touch, to feel
The slow reveal
Of what another body needs
It takes a lot to live
To ask for help
To be yourself
To know and love what you live with
It takes a lot to breathe
To touch, to feel
The slow reveal
Of what another body needs

[Bridge]
What are you so afraid to lose?
What is it you're thinking that will happen if you do?
What are you so afraid to lose?
(You wrote me to tell me
You're nervous and you're sorry)
What is it you're thinking that will happen if you do?
(Crying like a baby
Saying, ""this thing is killing me"")
It takes a lot to know a man...
What are you so afraid to lose?
(You wrote me to tell me
You're nervous and you're sorry)
What is it you're thinking that will happen if you do?
(Crying like a baby
Saying, ""this thing is killing me"")
It takes a lot to know a man...
What are you so afraid to lose?
(You wrote me to tell me
You're nervous and you're sorry)
It takes a lot to know a man...
What is it you're thinking that will happen if you do?
(Crying like a baby
Saying, ""this thing is killing me"")
It takes a lot to know a man...
What are you so afraid to lose?
(You wrote me to tell me
You're nervous and you're sorry)
It takes a lot to know a man...
What is it you're thinking that will happen if you do?
(Crying like a baby
Saying, ""this thing is killing me"")
It takes a lot to know a man...
What is it you carry on your back?
(You wrote me to tell me
You're nervous and you're sorry)
It takes a lot to know a man...
What is it you notice when you can't laugh?
(Know you can, have to know)
(Killing me)

[Instrumental Outro]"
Damien Rice,I Don’t Want to Change You,"[Verse 1]
Wherever you are
You know that I adore you
No matter how far
Well, I can go before you
And if ever you need someone
Well, not that you need helping
But if ever you want someone
Know that I am willing

[Chorus]
Oh, and I don't want to change you
I don't want to change you
I don't want to change your mind
I just came across a manger
Out among the danger
Somewhere in a stranger's eye

[Verse 2]
Wherever you go
Well, I can always follow
I can feed this real slow
If it's a lot to swallow
And if you just want to be alone
Well, I can wait without waiting
If you want me to let this go
Well, I'm more than willing

[Chorus]
Oh, 'cause I don't want to change you
I don't want to change you
I don't want to change your mind
I just came across a manger
Out among the danger
Somewhere in a stranger's eye
Oh, and I don't want to change you
I don't want to change you
I don't want to change your mind
I just came across a manger
Out among the danger
Somewhere in a stranger's eye

[Bridge]
I've never been with anyone
In the way I've been with you
But if love is not for fun
Then it's doomed
'Cause water races
Water races down the waterfalls
Water races
Water races down the waterfall

[Chorus]
And I don't want to change you
I don't want to change you
I don't want to change your mind
I just came across a manger
Where there is no danger
Where love has eyes and is not blind"
